date,Q1,Q2,Q3,Q4,Q5
193702,6.28,3.31,1.92,2.53,0.82
193703,2.4,-0.54,0,1.32,-0.6
193704,-17.16,-12.27,-8.36,-9.39,-6.63
193705,-3.11,-2.26,-2.4,-1.7,-0.63
193706,-12.45,-8.12,-7.1,-5.81,-3.61
193707,12.46,9.41,9.54,8.67,8.81
193708,-6.75,-5.43,-5.23,-4.47,-4.97
193709,-24.63,-20.84,-20.14,-17.81,-12.28
193710,-9.44,-10.89,-11.17,-9.38,-9.36
193711,-14.27,-11.07,-10.64,-9.78,-7.93
193712,-15,-12.1,-10.99,-6.44,-3.4
193801,6.04,5.47,4.3,1.52,0.16
193802,2.43,6.05,6.73,6.25,5.67
193803,-32.78,-28.16,-27.33,-24.75,-23.15
193804,23.26,19.07,18.78,16.24,13.61
193805,-8.48,-6.52,-6.28,-5.15,-3.53
193806,31.49,27.85,29.51,25.39,23.37
193807,16.16,14.84,12.24,11.43,6.47
193808,-9.76,-6.6,-4.89,-4.53,-2.24
193809,-4.13,-2.16,-2.06,-1.05,1.21
193810,15.1,16.5,13.8,12.58,6.68
193811,-6.23,-5.04,-1.89,-2.17,-1.57
193812,-1.69,4.46,4.8,5.73,3.82
193901,-8.05,-9.42,-8.56,-7.94,-5.42
193902,3.6,4.55,4.85,4.35,3.27
193903,-20.48,-20.03,-18.41,-17.31,-10.63
193904,1.08,1.14,-0.6,-0.33,-0.35
193905,6.71,9.67,10.22,9.3,6.32
193906,-12.07,-8.42,-7.65,-6.49,-4.94
193907,14.41,15.5,14.76,13.86,9.44
193908,-13.5,-13.08,-10.74,-10.72,-5.77
193909,71.85,41.33,31.03,21.73,14.84
193910,-8.43,-2.7,0.48,0.84,-0.58
193911,-15.45,-10.18,-7.72,-6,-2.95
193912,-1.48,2.4,4.08,3.34,3.06
194001,-4.2,-3,-1.98,-2.43,-2.36
194002,5.2,3.34,3.58,2.62,1.04
194003,2.22,3.34,3.38,2.57,1.92
194004,5.65,2.56,3.04,-0.41,0.07
194005,-32.14,-27.46,-26.98,-26.51,-20.88
194006,5.48,5.37,6.67,7.09,6.64
194007,2.53,3.54,5.85,3.71,3.03
194008,1.79,2.93,1.99,2.28,2.14
194009,4.43,5.13,4.96,2.53,2.2
194010,4.46,6.52,4.97,6.52,2.44
194011,0.2,0.07,0.45,-0.91,-1.77
194012,-3.4,-2.15,-0.13,-0.24,0.96
194101,-1.43,-1.7,-4.06,-3.71,-4.19
194102,-3.17,-2.31,-1.89,-1.79,-1.49
194103,1.7,2.01,1.08,0.89,0.82
194104,-6.19,-5.84,-5.55,-5.91,-5.28
194105,0.42,1.85,1.2,1.83,1.46
194106,9.71,6.78,6.19,5.47,5.84
194107,21.55,12.81,10.61,9.94,5.01
194108,-1.02,-0.81,-1.12,0.53,-0.09
194109,-4.7,-1.75,-1.62,-0.94,-0.76
194110,-7.08,-5.99,-6.52,-5.12,-5.03
194111,-5.68,-3.92,-1.54,-1.45,-1.83
194112,-14.12,-9.18,-6.44,-5.62,-4.6
194201,22.94,11.54,5.93,3.59,-0.23
194202,-2.29,-1.15,-1.28,-1.76,-2.66
194203,-5.77,-4.36,-4.13,-5.51,-6.95
194204,-5.17,-4.7,-4.8,-5.47,-4.09
194205,-0.53,1.74,2.52,3.74,6.63
194206,3.39,1.46,1.85,2.04,2.84
194207,6.19,4.1,4.05,4.45,3.32
194208,2.26,2.51,2.97,2.4,1.72
194209,7.61,4.06,2.47,3.19,2.42
194210,13,11.37,9.19,8.44,6.24
194211,-4.71,-3.18,-1.54,-1.04,0.68
194212,0.54,3.68,3.92,5.01,5.16
194301,30.94,16.34,11.82,8.52,6.42
194302,24.39,11.81,9.6,7.61,5.51
194303,13.94,13.95,10.92,9.46,5.13
194304,8.85,5.33,2.29,2.37,0.32
194305,15.9,10.27,7.23,5.78,5.43
194306,-2.15,1.8,1.28,1.08,1.98
194307,-7.86,-6.78,-6.46,-6.55,-4.14
194308,-1.5,-0.11,1.46,1.39,1.32
194309,4.03,3.73,2.93,2.88,2.33
194310,-0.58,1.22,-0.8,-0.59,-1.29
194311,-12.38,-7.39,-8.88,-7.63,-5.25
194312,10.76,10.84,9.87,8.76,5.73
194401,7.26,4.63,3.56,2.72,1.47
194402,2.98,-0.03,1.39,1.06,0.32
194403,5.45,4.99,4.2,3.18,2.17
194404,-3.38,-3.31,-2.47,-3.11,-1.34
194405,8.7,5.67,7.33,5.86,4.71
194406,15.88,8.44,9.36,8.02,4.81
194407,-2.24,-1.44,-0.4,-1.39,-1.52
194408,2.83,3.16,3.52,2.15,1.39
194409,-0.1,0.11,0.56,-0.21,0
