date,Q1,Q2,Q3,Q4,Q5
193702,-0.18,0.92,0.71,2.82,10.21
193703,-2.24,-0.41,-0.18,3.14,7.84
193704,-6.72,-6.3,-6.53,-9.44,-10.78
193705,-0.09,-1.49,-0.11,-2.87,-2.85
193706,-4.4,-3.43,-2.8,-5.5,-8.52
193707,8.56,10.48,7.38,9.48,12.01
193708,-3.34,-5.97,-5.16,-5.57,-8.64
193709,-11.85,-16.33,-9.92,-17.65,-21.81
193710,-9.89,-9.47,-6.63,-11.62,-16.73
193711,-8.99,-9.44,-6.93,-7.83,-10.09
193712,-3.68,-5.09,-2.43,-5.61,-9.95
193801,1.75,1.4,-1.2,1.45,-1.91
193802,5.62,8,4.18,7.11,5.61
193803,-22.8,-24.16,-21.68,-27.22,-34.25
193804,12.9,15.58,14.1,16.74,15.15
193805,-3.62,-5.58,-2.06,-6.79,-5.62
193806,25.58,26.62,18.05,26.37,35.92
193807,8.22,5.42,8.38,7.38,13.97
193808,-0.08,-3.73,-5.38,-5.18,-7.92
193809,1.05,1.46,-0.52,0.1,-2.45
193810,6.99,5.72,7.69,14.35,17.84
193811,-1.64,-0.52,-3.06,-3.1,-4.06
193812,3.23,4.22,2.95,5.82,9.65
193901,-5.88,-4.73,-5.39,-8.93,-12.25
193902,2.78,3.54,3.39,6.35,6.84
193903,-10.89,-9.14,-13.47,-18.74,-27.46
193904,-0.61,0.36,0.4,-2.33,0.33
193905,7.04,6.26,5.34,7.61,11.62
193906,-4.34,-5.4,-5.26,-9.25,-14.03
193907,11.33,8.4,10.03,9.88,18.45
193908,-5.84,-5.62,-8.23,-7.06,-14.47
193909,12.36,14.13,16.36,31.79,55.51
193910,0.19,-0.08,-0.15,-3.19,-5.46
193911,-2.41,-2.57,-3.58,-7.84,-13.16
193912,3.9,2.42,3.73,0.78,1.7
194001,-2.13,-1.87,-1.8,-4.55,-6.56
194002,0.73,2,0.76,2.21,1.61
194003,2.81,1.01,1.88,2.21,2.06
194004,0.15,0.1,0.36,0.79,-0.31
194005,-21.8,-20.46,-23.2,-22.41,-29.62
194006,4.82,7.39,9.92,5.72,15.23
194007,3.98,2.26,3.77,3.25,3.22
194008,2.84,0.68,2.37,2.85,2.61
194009,3.51,2.45,0.47,0.94,2.24
194010,0.47,3.04,6.18,8.47,9.66
194011,-2.54,-0.42,-1.16,-0.19,-4.83
194012,0.38,1.27,-0.36,1.08,-0.27
194101,-5.66,-3.81,-2.6,-2.92,0.05
194102,-1.93,-1.79,-0.66,-1.14,-1.55
194103,0.52,0.87,1.41,1.83,4.1
194104,-6.18,-5.96,-4.61,-3.33,-2.58
194105,1.36,1.43,2.55,2.52,0.81
194106,6.53,5.09,6.85,4.16,5.67
194107,4.66,4.24,8.31,9.24,18.01
194108,0.93,0,-1.48,-1.09,-2.27
194109,0.04,-1.15,-2.17,-1.25,-2.75
194110,-6.48,-4.21,-2.91,-2.98,-5.77
194111,-1.91,-1.69,-0.71,-1.38,-3.89
194112,-3.42,-5.44,-4.7,-8.77,-9.32
194201,-2.8,0.24,0.81,8.86,14.89
194202,-2.57,-2.2,-2.89,-2.5,-0.39
194203,-5.73,-6.88,-7.66,-5.64,-6.49
194204,-3.41,-6.08,-4.27,-3.43,-2.78
194205,7.88,5.69,5,2.25,-1.08
194206,4.22,1.5,1.96,2.27,2.36
194207,2.1,4.43,3.5,5.34,9.39
194208,1.49,1.99,1.25,4.09,2.65
194209,2.57,2.89,2.3,2.15,7.02
194210,4.97,5.88,8.9,11.05,13.5
194211,0.98,1.77,0.6,-3.72,-5.77
194212,5.56,3.98,5.37,5.99,5.11
194301,5.64,6.05,9.09,9.49,15.66
194302,3.86,6.4,8.62,9.85,15.04
194303,4.38,5.22,8.22,8.76,15.22
194304,-0.8,1.28,1.53,1.09,8.95
194305,5.32,4.79,7.51,5.93,10.48
194306,2.08,2.71,0.74,0.88,-1.67
194307,-5.14,-3.49,-2.83,-5.81,-7.79
194308,1.43,1.35,0.93,0.96,-0.16
194309,2.47,2.16,2.56,2.83,4.39
194310,-2,-0.85,-1.38,1.45,-0.56
194311,-4.83,-4.83,-6.74,-7.3,-14.43
194312,5.4,6.17,6.99,7.73,11.28
194401,1.04,1.1,2.21,2.58,8.01
194402,0.31,0,1.38,0.39,4.57
194403,2.48,1.78,1.99,4.06,5.46
194404,-1.41,-1.61,-1.97,-1.29,-3.56
194405,4.6,4.78,5.02,5.3,7.83
194406,5.67,4.2,4.49,7.67,9.53
194407,-1.74,-1.54,-0.96,-1.17,-0.98
194408,1.88,0.71,2.41,1.66,0.7
194409,0.32,-0.31,-0.13,0.4,-0.09
194410,-0.29,0.81,0.92,-0.29,0.47
194411,1.06,1.71,2.32,2.94,3.39
194412,2.59,3.5,5.32,5.49,12.47
194501,0.98,1.36,3.04,5.65,1
194502,5.43,5.42,6.11,8.12,10.71
194503,-3.73,-3.11,-4.02,-5.01,-5.21
194504,7.41,6.6,7.33,9.22,11.52
194505,1.84,1.93,1.21,0.71,2.92
194506,-1.9,0.3,1.28,1.58,5.89
194507,-1.51,-0.87,-2.95,-2.99,-5.21
194508,8.41,5.7,4.68,4.94,1.85
194509,5.1,3.35,4.74,4.35,7.4
194510,2.63,3.59,5.9,6.08,5.04
194511,2.93,5.45,5.92,7.49,10.37
194512,1.41,1.17,1.79,0.9,-0.61
194601,6.32,4.94,5.29,6,10.45
194602,-5.72,-4.93,-5.05,-6.92,-7.9
194603,5.2,6.41,7.32,7.36,3.83
194604,4.05,4.05,6.28,4.87,2.17
194605,3.18,3.98,2.6,6.09,6.83
194606,-4.69,-2.79,-2.62,-5.19,-3.71
194607,-2.64,-3.37,-2.01,-1.88,-3.51
194608,-6.27,-6.09,-6.97,-5.1,-7.52
194609,-9.55,-10.04,-8.51,-8.66,-13.99
194610,-2.53,-2.03,-2.79,0.3,0.79
194611,-0.15,0.82,0.32,0.46,-0.23
194612,5.71,6.29,4.29,4.65,3.76
194701,3.37,-1.09,1.19,0.2,1.84
194702,-0.06,-0.83,-0.97,-1.87,-1.61
194703,-1.84,-1.92,-1.3,-0.33,-2.44
194704,-5.02,-5.92,-3.81,-3.76,-5.11
194705,-1.02,-2.13,-0.93,0.51,-2.21
194706,6.29,6.51,2.49,5.92,4.87
194707,3.52,4.04,3.51,4.38,7.74
194708,-1.71,-1.7,-1.63,-1.19,-2.53
194709,-0.45,-0.73,-0.83,0.27,0.2
194710,2,3.97,2.74,2.8,2.71
194711,-1.75,-2.13,-1.53,-2.45,-1.97
194712,1.67,3.62,3.18,3.23,6.36
194801,-4.41,-4.07,-4.07,-2.6,-2.86
194802,-4.72,-5.14,-3.19,-4.83,-4.6
194803,7.51,9.83,6.82,9.25,11.19
194804,2.24,3.04,4.78,3.58,7.13
194805,8.5,9.02,5.88,6.75,7.78
194806,-0.59,-0.66,0.62,-0.65,2.07
194807,-5.24,-5.67,-4.07,-5.06,-4.83
194808,0.9,-0.4,0.36,-0.44,0.76
194809,-2.54,-3.25,-1.73,-4.15,-3.87
194810,6.11,7.68,4.11,5.94,6.17
194811,-7.93,-9.29,-7.44,-12,-14.05
194812,4.86,3.9,1.73,2,1.98
194901,0.79,-2.04,0.28,1.09,1.87
194902,-2.77,-3.76,-1.57,-2.65,-5.18
194903,4.36,3.9,2.89,5.63,5.36
194904,-1.97,-0.74,-1.57,-1.79,-2.85
194905,-1.63,-3.23,-2.09,-4.82,-5.67
194906,1.31,-0.08,0.46,-0.31,-2.73
194907,5.62,4.98,5.8,5.93,6.51
194908,2.74,2.63,3.37,2.11,2.62
194909,2.97,2.53,3.81,3.91,4.65
194910,3.45,3.02,2.91,3.15,2.83
194911,3.12,1.24,0.53,0.66,1.85
194912,5.8,3.74,4.24,5.63,8.65
195001,0.88,1.24,2.67,1.91,6.14
